event_date,event_name,tail_number,metric,delta_t,impact_model,impact_observed,rate_mean_type,rate_std_type,rate_n_type,rate_source
2024-09-05,LH engine wash,FHMRB,perf_factor,364.0,-0.00013175962293795335,-0.00013175962293795335,-3.6197698609327843e-07,,1,type_rate
2024-10-03,RH engine wash,FHMRB,perf_factor,364.0,-0.0009408187134502949,-0.0009408187134502949,-2.584666795193118e-06,,1,type_rate
2024-10-31,LH engine wash,FHMRB,perf_factor,56.0,-2.0270711221223592e-05,,-3.6197698609327843e-07,,1,type_rate
